Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
19387600915,Ventosa Variedade Girafa Telescópica De Alívio De Estresse Educacional Infantil Pinch Fun,"R$13,11",44mil,Choice Oficial,11%,"R$1,44",https://shopee.com.br/product/1006215031/19387600915,https://s.shopee.com.br/9UkBZcjLt5
20115445443,05 Pacotes Lenços Umedecidos Infância Feliz 150 folhas - Produto 100% Vegano - Com Tampinha,"R$34,50","25,4mil",ATACADO DA PERFUMARIA - OFICIAL,8%,"R$2,76",https://shopee.com.br/product/673495060/20115445443,https://s.shopee.com.br/AKJIZ9gBCG
23492963102,12 Unidades Pano de Boca Bebe Fralda de Boca Babete 100% Algodão 30cm x 30cm,"R$25,98","19,7mil",magiainfantil,3%,"R$0,78",https://shopee.com.br/product/1017646777/23492963102,https://s.shopee.com.br/AUcilSfXrJ
23493179837,Talheres bebê silicone 8 Peças kit Talheres Infantil Com Ventosa Canudo Colher Babador Garfo,"R$39,50",18mil,ZSZ_brasil,3%,"R$1,19",https://shopee.com.br/product/390307022/23493179837,https://s.shopee.com.br/9zgSAXhRsE
27557450499,Blocos de construção em micropartículas-Compatível com figuras de desenhos animados e brinquedos de quebra-cabeças,"R$6,85","42,1mil",Choice Oficial,11%,"R$0,75",https://shopee.com.br/product/1006215031/27557450499,https://s.shopee.com.br/A9zsMqgoXH
22492851439,Caixa Kit Com 300  Lenços/Toalhas Umedecida  Kit Higiene Bebe Promoção,"R$7,99",32mil,CantinhoBabysp,3%,"R$0,24",https://shopee.com.br/product/378105312/22492851439,https://s.shopee.com.br/8KYEBTnnFw
20299229642,Kit Enxoval Cueiro e Paninho de boca ( 9 PEÇAS ),"R$25,99","12,2mil",CantinhoBabysp,3%,"R$0,78",https://shopee.com.br/product/378105312/20299229642,https://s.shopee.com.br/8UreNmn9uz
8490684267,Babá Eletrônica Câmera Sem Fio Visão Noturna Infravermelho,"R$68,88","53,2mil",Neverdie Store,3%,"R$2,07",https://shopee.com.br/product/409164022/8490684267,https://s.shopee.com.br/7zvNmrp3vu
22592897968,Lousa Mágica Tela Lcd 8.5 /10 /12 Polegadas Infantil De Escrever E Desenhar Tablet,"R$11,80","24,5mil",lavvi shop,3%,"R$0,35",https://shopee.com.br/product/1208992205/22592897968,https://s.shopee.com.br/8AEnzAoQax
20797746340,Kit com 6 Lenços/Toalhas Umedecidas Baby Star C/100,"R$29,99","20,2mil",Stock20,3%,"R$0,90",https://shopee.com.br/product/973103774/20797746340,https://s.shopee.com.br/8znuyhlFu8
19898672322,Kit 10 Saquinhos Maternidade Multiuso Organizador Nécessaire Envelope Com Zíper,"R$20,50","30,4mil",J.R. Variedades,3%,"R$0,62",https://shopee.com.br/product/255636032/19898672322,https://s.shopee.com.br/9A7LB0kcZB
21299369919,Bomba tira-leite elétrica Sem dor Alta potencia de sucção integrada Silenciosa Massageador Portátil Amamentação,"R$59,88","4,1mil",PHISENSE,3%,"R$1,80",https://shopee.com.br/product/951293280/21299369919,https://s.shopee.com.br/8fB4a5mWa6
23192462910,Tapete Termico Infantil Bebe Estampas Atividades Educativo Tapetinho Lavável,"R$25,90",32mil,lojachicchic,7%,"R$1,81",https://shopee.com.br/product/423598373/23192462910,https://s.shopee.com.br/8pUUmOltF9
21499179448,420 Toalhas Umedecidas/3 Pacotes- Upa Bebê Promoção,"R$23,99","5,3mil",CantinhoBabysp,3%,"R$0,72",https://shopee.com.br/product/378105312/21499179448,https://s.shopee.com.br/702qb1srxo
20297670022,Cueiro Estampado Flanelado Bebê Kit 3 Unidades 80X50CM Papi/Incomfral,"R$19,99","11,1mil",Emporio DK Produtos Infantis,3%,"R$0,60",https://shopee.com.br/product/1045804093/20297670022,https://s.shopee.com.br/7AMGnKsEcr
23232308359,"Colchão para carrinho Moises Colchonete carrinho com fronha 100% algodao Menino, Menina e Neutro","R$27,50","16,4mil",Maratona do Bebê,11%,"R$3,03",https://shopee.com.br/product/344410462/23232308359,https://s.shopee.com.br/6fQ0CPu8dm
20497794376,Caranguejo Brinquedo Fujão Som Luz E Movimento Maluco Siri Carangueijo Musical QX,"R$24,80","5,3mil",QX Eletrônico,3%,"R$0,74",https://shopee.com.br/product/1197125923/20497794376,https://s.shopee.com.br/6pjQOitVIp
19499333667,Banheira de bebe 22L Resistente Infantil Menina Menino Design Anatômico,"R$39,99","10,8mil",CantinhoBabysp,3%,"R$1,20",https://shopee.com.br/product/378105312/19499333667,https://s.shopee.com.br/7fIXOFqKc0
21699092639,Kit 7 Saquinhos Maternidade Multiuso Com Zíper Organizador Nécessaire Envelope,"R$19,99","35,7mil",J.R. Variedades,3%,"R$0,60",https://shopee.com.br/product/255636032/21699092639,https://s.shopee.com.br/7pbxaYphH3
8255517619,Kit 10 Trava Gaveta Armário Geladeira Porta Vaso Sanitário Segurança Protetor Infantil A Tóxico Bebe,"R$23,90","58,9mil",Zabcon Variedades Ltda,3%,"R$0,72",https://shopee.com.br/product/445011614/8255517619,https://s.shopee.com.br/7KfgzdrbHy
25364747416,Brinquedo de blocos de montar de figuras de ação para aprendizado prático de crianças,"R$0,98","36,8mil",Pendant.br,13%,"R$0,13",https://shopee.com.br/product/1134163048/25364747416,https://s.shopee.com.br/7Uz7Bwqxx1
19898696875,Kit Higiene 5 Peças Bebe Unha Pimpolho,"R$32,99","13,9mil",CantinhoBabysp,3%,"R$0,99",https://shopee.com.br/product/378105312/19898696875,https://s.shopee.com.br/5fXT0Zxwfg
19297667828,Fralda Pampers Praia e Piscina Splashers Baby Shark,"R$24,99","5,1mil",Loja Duval,3%,"R$0,75",https://shopee.com.br/product/1081397690/19297667828,https://s.shopee.com.br/5pqtCsxJKj
22797829056,Talheres bebê silicone 8 Peças kit Talheres Infantil Com Ventosa Canudo Colher Babador Garfo,"R$44,90","2,6mil",BHJ ELETRONICO,3%,"R$1,35",https://shopee.com.br/product/328239547/22797829056,https://s.shopee.com.br/5KucbxzDLe
22392929777,Lousa Mágica Tela Lcd 8.5 /10 /12 Polegadas Infantil De Escrever E Desenhar Tablet,"R$11,90","39,8mil",H&T Davi,3%,"R$0,36",https://shopee.com.br/product/421422443/22392929777,https://s.shopee.com.br/5VE2oGya0h
17039397590,Kit com 10 Pacotes de Lenços Umedecidos Turminha da Bagunça 120 Folhas 20x13 cm - com Tampa Flip Top,"R$59,99","22,3mil",ATACADO DO LENÇO UMEDECIDO,7%,"R$4,20",https://shopee.com.br/product/604069672/17039397590,https://s.shopee.com.br/6Kn9nnvPJs
20097685110,Kit 3 Cueiro Flanelado Estampado 50 x 80 Enxoval Infantil Bebê Menino Menina,"R$19,98","9,8mil",magiainfantil,3%,"R$0,60",https://shopee.com.br/product/1017646777/20097685110,https://s.shopee.com.br/6V6a06ulyv
22493000811,"Bomba de tira leite,Bomba Elétrica Portátil Para Leite Materno Recarregável","R$89,99",14mil,Fang.store,3%,"R$2,70",https://shopee.com.br/product/526596865/22493000811,https://s.shopee.com.br/60AJPBwfzq
22393141307,Brinquedo Caranguejo Fujão Musical Som Luz E Movimento Infantil Para Bebês,"R$29,89","11,8mil",Babyland ,3%,"R$0,90",https://shopee.com.br/product/443191322/22393141307,https://s.shopee.com.br/6ATjbUw2et
22493169665,Lixa de Unha Elétrico Aparador Cortador Para Bebê Infantil Com Estojo,"R$19,99","8,3mil",MY COMERCIO,3%,"R$0,60",https://shopee.com.br/product/371656735/22493169665,https://s.shopee.com.br/4L25Q831NY
22997889580,Kit 8 Saquinhos Maternidade Multiuso Varias Cores Com Zíper Organizador Nécessaire,"R$20,90",2mil,J.R. Variedades,3%,"R$0,63",https://shopee.com.br/product/255636032/22997889580,https://s.shopee.com.br/4VLVcR2O2b
23492793076,Chupeta Alimentadora Bebe Para Frutas Com Tampa Higiênica Prática Com Bico De Mamadeira Macio,"R$10,99","12,7mil",BLUE BLUE,3%,"R$0,33",https://shopee.com.br/product/1148554752/23492793076,https://s.shopee.com.br/40PF1W4I3W
22097161735,Brinquedo Cacto Dançante Falante Imita c/ Musicas Repete Falas,"R$23,99","32,4mil",SUPER CHETO,3%,"R$0,72",https://shopee.com.br/product/874603044/22097161735,https://s.shopee.com.br/4AifDp3eiZ
22792521140,Kit 1680 lenços/Toalhas umedecidas Upa bebe caixa com 12 pacotes 140 und cada,"R$70,99","15,1mil",CantinhoBabysp,3%,"R$2,13",https://shopee.com.br/product/378105312/22792521140,https://s.shopee.com.br/50HmDM0U1k
6788553453,Manta Cobertor Bebe Infantil Microfibra Antialérgico Menor Preço Manta,"R$21,00",68mil,Ninar ★ Baby,13%,"R$2,73",https://shopee.com.br/product/297961046/6788553453,https://s.shopee.com.br/5AbCPezqgn
27005898906,Mini Nebulizador Portátil Ultrassônico LEOYELV De Malha Com 2 Máscaras Para Asma Kids Adult JSL-W303,"R$32,78","7,4mil",Choice Oficial,11%,"R$3,61",https://shopee.com.br/product/1006215031/27005898906,https://s.shopee.com.br/4fevok1khi
23618360276,Lousa Mágica Tela Lcd Tablet Infantil De Escrever E Desenhar 8.5/10/12 Polegadas,"R$10,90","91,4mil",ZSZ_Official Store,7%,"R$0,76",https://shopee.com.br/product/291174073/23618360276,https://s.shopee.com.br/4pyM1317Ml
16610445000,"Lenços Umedecidos Turminha Da Bagunça Ultra Care -  Caixa com 05 Pacotes, 120 Folhas Cada (20x13cm)","R$29,99","83,1mil",ATACADO DO LENÇO UMEDECIDO,8%,"R$2,40",https://shopee.com.br/product/604069672/16610445000,https://s.shopee.com.br/30Whpg865Q
10534042830,Kit 3 Mamadeiras Lillo Evolution Primeiros Passos de 0 a 1 ano Tampa Anti-vazamento,"R$49,89",6mil,ENCOMENDAMAIS ELETRO,3%,"R$1,50",https://shopee.com.br/product/311612359/10534042830,https://s.shopee.com.br/3Aq81z7SkT
18297665963,Fraldas de pano kit com 10 unidades 60x60cm 100% algodão Minasrey Bebê Babete Toalinha Babita Paninho Estampado,"R$21,99","6,9mil",CantinhoBabysp,3%,"R$0,66",https://shopee.com.br/product/378105312/18297665963,https://s.shopee.com.br/2ftrR49MlO
22597400480,Cavalinho Upa Upa inflavel Pocoto Brinquedo Pula Pula Musica Infantil Com Musica e Led,"R$43,90","8,2mil",Vidaro Shop,8%,"R$3,51",https://shopee.com.br/product/1188919380/22597400480,https://s.shopee.com.br/2qDHdN8jQR
10586903748,Colonia cia da natureza infantil de 200ml,"R$20,00","12,7mil",Mercadão das Fraldas,3%,"R$0,60",https://shopee.com.br/product/376236055/10586903748,https://s.shopee.com.br/3fmOcu5Yjc
22692449734,Câmera Babá Eletrônica com 3 Antenas Wifi HD,"R$75,90","10,5mil",HerberT Eletrônico,3%,"R$2,28",https://shopee.com.br/product/1033215079/22692449734,https://s.shopee.com.br/3q5opD4vOf
22597491125,Cobertor de Bebe Soft Mantinha Extra Macia 80 x 100cm 10 Cores Disponiveis,"R$21,00","14,6mil",La Tutti Baby,3%,"R$0,63",https://shopee.com.br/product/319541592/22597491125,https://s.shopee.com.br/3L9YEI6pPa
22493210003,Kit Brinquedos Para Bebê Chocalhos Mordedor Sensorial 5 Peças Brinquedo Infantil Musical Coisas de Bebê Neném Criança,"R$32,99","8,1mil",DIMMY SHOP,3%,"R$0,99",https://shopee.com.br/product/1315992339/22493210003,https://s.shopee.com.br/3VSyQb6C4d
21820451014,Kit 2 Baldes Lenços Umedecidos Fiesta + Refil (1200 Toalhas),"R$24,99","46,3mil",Maxi Confort,3%,"R$0,75",https://shopee.com.br/product/541585641/21820451014,https://s.shopee.com.br/1g1KFEDAnI
23491314077,Mictorio Sapinho Infantil Troninho Penico Menino,"R$25,40","16,7mil",Magazine RM,3%,"R$0,76",https://shopee.com.br/product/289454322/23491314077,https://s.shopee.com.br/1qKkRXCXSL
22191314325,Saco de Dormir Bebe Ursinho com Sherpa Inverno Menina e Menino Charutinho Enrolar o Bebe | 2 CORES,"R$33,00","28,1mil",Hortelã Baby,13%,"R$4,29",https://shopee.com.br/product/975613324/22191314325,https://s.shopee.com.br/1LOTqcERTG
19497667714,Patinete Infantil 3 Rodas De Led Dobrável Scooter Crianças,"R$62,90","10,8mil",OPACOTE,8%,"R$5,03",https://shopee.com.br/product/762383390/19497667714,https://s.shopee.com.br/1Vhu2vDo8J
22997623491,Kit 13 Higiene Cuidado Bebê Recém Nascido Essencial,"R$32,99","3,7mil",QX Eletrônico,8%,"R$2,64",https://shopee.com.br/product/1197125923/22997623491,https://s.shopee.com.br/2LH12SAdRU
9830388367,Mochila Maternidade Bolsa Mamãe Bebê Multifunção,"R$27,99","88,4mil",ANJ.GG store,7%,"R$1,96",https://shopee.com.br/product/391739739/9830388367,https://s.shopee.com.br/2VaRElA06X
23096358135,Kit 10 Saquinhos Maternidade Multiuso Organizador Necessaire Com Zíper,"R$23,90","17,4mil",TOPLLAR,3%,"R$0,72",https://shopee.com.br/product/1014927528/23096358135,https://s.shopee.com.br/20eAdqBu7S
23597899395,50.000 Bolinhas De Gel para Arminha Brinquedo Orbeez de munição lançador 7-8mm,"R$13,99","2,5mil",AINY ECOMMERCE,3%,"R$0,42",https://shopee.com.br/product/1304261607/23597899395,https://s.shopee.com.br/2Axaq9BGmV
18299327900,Kit 13 Higiene Cuidado Bebê Recém Nascido Essencial 13 Peças Cuidados Com O Bebê Recém,"R$32,88","6,9mil",LEMON TREE SHOP,3%,"R$0,99",https://shopee.com.br/product/1057319077/18299327900,https://s.shopee.com.br/LVwemIFVA
22997635434,Bomba tira-leite elétrica Sem dor Alta potencia de sucção integrada Silenciosa Massageador Portátil,"R$56,99","5,7mil",Fang.store,3%,"R$1,71",https://shopee.com.br/product/526596865/22997635434,https://s.shopee.com.br/VpMr5HcAD
4180095289,Mochila Maternidade Bolsa Mamãe Bebê Multifunção à prova d'água dobrável Multineos Pronto Entrega,"R$34,99","15,9mil",Multineos Comercio,3%,"R$1,05",https://shopee.com.br/product/377126536/4180095289,https://s.shopee.com.br/t6GAJWB8
23597725150,Lousa Mágica Tela Lcd 8.5 /10 /12 Polegadas Infantil De Escrever E Desenhar Tablet,"R$11,99","2,9mil",Lavee_Acessorios,3%,"R$0,36",https://shopee.com.br/product/425947430/23597725150,https://s.shopee.com.br/BCWSTIsqB
23497319608,Toalha De Banho E Praia Piscina Infantil Lilo Stitch,"R$23,98","11,7mil",FalaPatrão,3%,"R$0,72",https://shopee.com.br/product/431466978/23497319608,https://s.shopee.com.br/10ldS0Fi9M
23497774691,Assento Redutor Troninho Infantil Sanitario Pinico Menina Menino Meu Troninho Cores,"R$20,70","1,5mil",Utilidades Alencar,7%,"R$1,45",https://shopee.com.br/product/754451852/23497774691,https://s.shopee.com.br/1B53eJF4oP
