Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
11234954114,Kit 10 Cuecas Box Boxer Infantil Micro Fibra,"R$31,90","253,6mil",FAG MAGINE,6%,"R$1,91",https://shopee.com.br/product/516824500/11234954114,https://s.shopee.com.br/20eDxMGsID
18873991654,Kit Roupa De Bebe 4 Pçs Canelado 2 Conjuntos Body Manga longa E Mijão Barato Enxoval,"R$31,99","14,7mil",Magazine Babyli Confecções,6%,"R$1,92",https://shopee.com.br/product/848459194/18873991654,https://s.shopee.com.br/2VaUYHEyHK
19697065726,Calcinha Infantil Kit 10 un Calcinha bebê Calcinha menina 0 a 7 anos algodão calcinha algodão Enxoval Infantil,"R$20,49","57,2mil",eBaby Atacado,6%,"R$1,23",https://shopee.com.br/product/593542307/19697065726,https://s.shopee.com.br/2LH4LyFbcJ
23897649179,chinelo divertidamente emoçoes slide infantil adulto juvenil  confortavel nuvem,"R$39,54","9,7mil",MARINELLA_SHOES,11%,"R$4,35",https://shopee.com.br/product/1084355137/23897649179,https://s.shopee.com.br/1VhxMRImJA
25774864885,6pcs/lot Baby Sweet Bowknot Clipes Para Cabelo Impressão Suave Grampos Meninas Hairgripe Fresh Kids Headwear Acessórios,"R$6,40","27,9mil",Choice Oficial,14%,"R$0,90",https://shopee.com.br/product/1006215031/25774864885,https://s.shopee.com.br/1LOXA8JPe9
20350419516,Kit Sortido 10 Peças de Roupas Infantil Menino- 5 Camisetas + 5 Bermudas - Kit com 5 Conjuntos de Roupa Infantil Menino Verão Masculino Bebê,"R$99,90","123,6mil",Poloinfantil.store,6%,"R$5,99",https://shopee.com.br/product/341167297/20350419516,https://s.shopee.com.br/1qKnl3HVdG
18364620792,Kit Sortido 10 Peças de Roupas Infantil Menina - 5 Camisetas + 5 Bermudas - Kit com 5 Conjuntos de Roupa Infantil Menina Verão Feminino Bebê,"R$99,90","81,6mil",Poloinfantil.store,6%,"R$5,99",https://shopee.com.br/product/341167297/18364620792,https://s.shopee.com.br/1g1NYkI8yF
23297366046,Sandália Papete Infantil Bebe Baby Leve Macia Confortavel Linda Promoção,"R$24,44","5,3mil",bellasandalias,6%,"R$1,47",https://shopee.com.br/product/906600571/23297366046,https://s.shopee.com.br/qSGZDLJf6
24066964934,"Pulseira Estrela dos Desejos, Presente de Aniversário Infantil","R$3,25","49,4mil",Choice Oficial,14%,"R$0,46",https://shopee.com.br/product/1006215031/24066964934,https://s.shopee.com.br/g8qMuLx05
10834034640,Kit 10 peças de Roupa Conjunto Infantil e Juvenil Menino Tamanho 01 ao 16,"R$49,90","3,5mil",A Pechincha,16%,"R$7,98",https://shopee.com.br/product/493072364/10834034640,https://s.shopee.com.br/1B56xpK2zC
13257315583,Kit 10 Calcinha Infantil De 01 a 12 Anos 100% Algodão,"R$29,90","49,8mil",Underwear 2,10%,"R$2,99",https://shopee.com.br/product/483868012/13257315583,https://s.shopee.com.br/10lglWKgKB
22093258023,Sandália Margarida Infantil,"R$19,90","6,8mil",Cecília_Shoes..,6%,"R$1,19",https://shopee.com.br/product/462493699/22093258023,https://s.shopee.com.br/BCZlzNr12
24374872717,"Kit de Faixas de Cabelo Infantis, 6 Peças com Laços Coloridos, Feito à Mão","R$7,05","68,6mil",Choice Oficial,14%,"R$0,99",https://shopee.com.br/product/1006215031/24374872717,https://s.shopee.com.br/t9ZgOUM1
